,ZIP_Code,Evac,NoEvac,total,city,state,latitude,longitude
1,23455,1,,1,Virginia Beach,VA,36.889797,-76.1426
2,32034,1,,1,Fernandina Beach,FL,30.641487,-81.46092
3,32040,1,1,2,Glen Saint Mary,FL,30.272356,-82.21351
4,32043,,1,1,Green Cove Springs,FL,29.97289,-81.72195
5,32064,,1,1,Live Oak,FL,30.331517,-82.957151
6,32073,1,,1,Orange Park,FL,30.160965,-81.72916
7,32092,1,,1,Saint Augustine,FL,29.955409,-81.51284
8,32114,,2,2,Daytona Beach,FL,29.204009,-81.03602
9,32134,,1,1,Fort McCoy,FL,29.401523,-81.83636
10,32168,1,,1,New Smyrna Beach,FL,29.016897,-80.95736
11,32174,,1,1,Ormond Beach,FL,29.284924,-81.10296
12,32209,1,,1,Jacksonville,FL,30.354588,-81.69113
13,32211,1,,1,Jacksonville,FL,30.333022,-81.586
14,32225,,1,1,Jacksonville,FL,30.348585,-81.49965
15,32227,,1,1,Jacksonville,FL,30.383023,-81.41049
16,32244,,1,1,Jacksonville,FL,30.222489,-81.74894
17,32258,,1,1,Jacksonville,FL,30.148209,-81.56882
18,32259,,1,1,Jacksonville,FL,30.092346,-81.60274
19,32277,,2,2,Jacksonville,FL,30.364339,-81.59087
20,32301,,1,1,Tallahassee,FL,30.431283,-84.26903
21,32305,,1,1,Wakulla Springs,FL,30.130775,-84.406629
22,32308,,1,1,Tallahassee,FL,30.531677,-84.16049
23,32309,,1,1,Miccosukee Cpo,FL,30.514599,-84.188446
24,32317,,1,1,Tallahassee,FL,30.479347,-84.346204
25,32327,,1,1,Crawfordville,FL,30.194939,-84.35533
26,32344,,1,1,Monticello,FL,30.530854,-83.88017
27,32401,1,,1,Panama City,FL,30.161901,-85.65297
28,32404,,1,1,Panama City,FL,30.188585,-85.56392
29,32502,,1,1,Pensacola,FL,30.474288,-87.225691
30,32504,,1,1,Pensacola,FL,30.48787,-87.18937
31,32514,,1,1,Pensacola,FL,30.527195,-87.21485
32,32533,,1,1,Cantonment,FL,30.600993,-87.31979
33,32536,,1,1,Crestview,FL,30.760184,-86.58533
34,32570,,1,1,Milton,FL,30.70969,-87.01098
35,32603,,1,1,Gainesville,FL,29.653145,-82.3469
36,32605,,1,1,Gainesville,FL,29.676006,-82.36889
37,32608,,2,2,Gainesville,FL,29.611545,-82.3941
38,32609,,1,1,Gainesville,FL,29.713911,-82.29591
39,32641,1,,1,Gainesville,FL,29.648594,-82.28621
40,32643,,1,1,High Springs,FL,29.823616,-82.60407
41,32653,1,,1,Gainesville,FL,29.735832,-82.39008
42,32707,,1,1,Casselberry,FL,28.665125,-81.31772
43,32708,,1,1,Winter Springs,FL,28.683408,-81.28151
44,32738,,2,2,Deltona,FL,28.910383,-81.18764
45,32746,,2,2,Lake Mary,FL,28.758133,-81.33992
46,32754,1,,1,Mims,FL,28.707648,-80.89049
47,32757,1,,1,Mount Dora,FL,28.786272,-81.64475
48,32759,,1,1,Oak Hill,FL,28.868986,-80.85374
49,32765,,1,1,Oviedo,FL,28.656375,-81.21026
50,32771,,3,3,Sanford,FL,28.803979,-81.28761
51,32789,,1,1,Winter Park,FL,28.598677,-81.35594
52,32801,1,1,2,Orlando,FL,28.541879,-81.37446
53,32803,1,,1,Orlando,FL,28.557579,-81.35244
54,32806,,1,1,Orlando,FL,28.51483,-81.36054
55,32808,,2,2,Orlando,FL,28.576028,-81.44369
56,32810,,1,1,Orlando,FL,28.619445,-81.42695
57,32816,,1,1,Orlando,FL,28.566338,-81.260818
58,32818,,1,1,Orlando,FL,28.583103,-81.48608
59,32821,1,,1,Orlando,FL,28.391608,-81.47345
60,32824,,1,1,Orlando,FL,28.410872,-81.35898
61,32828,,2,2,Orlando,FL,28.542132,-81.18404
62,32835,1,1,2,Orlando,FL,28.528789,-81.47863
63,32836,,1,1,Orlando,FL,28.401151,-81.52488
64,32905,1,,1,Palm Bay,FL,28.031689,-80.60014
65,32922,,1,1,Cocoa,FL,28.366284,-80.74196
66,32927,,1,1,Cocoa,FL,28.47123,-80.79887
67,32931,1,,1,Cocoa Beach,FL,28.326985,-80.61119
68,32935,1,,1,Melbourne,FL,28.13926,-80.65077
69,32940,,1,1,Melbourne,FL,28.21981,-80.69402
70,32951,1,,1,Melbourne Beach,FL,28.01514,-80.53518
71,32953,2,,2,Merritt Island,FL,28.396301,-80.70198
72,32960,1,,1,Vero Beach,FL,27.636828,-80.40294
73,32966,,1,1,Vero Beach,FL,27.645377,-80.51468
74,33004,,1,1,Dania,FL,26.051916,-80.14526
75,33019,1,,1,Hollywood,FL,26.018967,-80.12231
76,33020,,2,2,Hollywood,FL,26.016984,-80.14925
77,33023,1,,1,Hollywood,FL,25.989119,-80.21318
78,33024,1,,1,Hollywood,FL,26.023567,-80.23851
79,33028,,1,1,Pembroke Pines,FL,26.018418,-80.34798
80,33055,,1,1,Opa Locka,FL,25.94422,-80.2773
81,33064,1,,1,Pompano Beach,FL,26.279108,-80.11319
82,33071,1,,1,Pompano Beach,FL,26.242559,-80.26564
83,33101,,1,1,Miami,FL,25.779076,-80.19782
84,33133,,1,1,Miami,FL,25.730678,-80.2441
85,33138,1,,1,Miami,FL,25.853184,-80.18622
86,33143,1,,1,Miami,FL,25.702929,-80.29642
87,33145,1,,1,Miami,FL,25.753177,-80.23327
88,33147,,1,1,Miami,FL,25.850124,-80.23773
89,33155,,1,1,Miami,FL,25.739011,-80.30685
90,33157,1,,1,Miami,FL,25.606583,-80.34859
91,33161,1,1,2,Miami,FL,25.893372,-80.18164
92,33165,,2,2,Miami,FL,25.734828,-80.3583
93,33172,,1,1,Miami,FL,25.786634,-80.36151
94,33176,,1,1,Miami,FL,25.653431,-80.35999
95,33186,,2,2,Miami,FL,25.662292,-80.40947
96,33190,1,,1,Miami,FL,25.56071,-80.3494
97,33196,,1,1,Miami,FL,25.650232,-80.45925
98,33222,1,,1,Miami,FL,25.93,-80.23
99,33304,1,,1,Fort Lauderdale,FL,26.137693,-80.12646
100,33306,1,,1,Fort Lauderdale,FL,26.165212,-80.11379
101,33308,1,1,2,Fort Lauderdale,FL,26.191111,-80.10846
102,33312,1,,1,Fort Lauderdale,FL,26.094665,-80.17987
103,33316,,1,1,Fort Lauderdale,FL,26.101114,-80.12931
104,33321,,2,2,Fort Lauderdale,FL,26.211122,-80.2631
105,33322,2,,2,Fort Lauderdale,FL,26.150863,-80.27284
106,33326,,1,1,Weston,FL,26.112366,-80.37697
107,33426,1,,1,Boynton Beach,FL,26.529581,-80.08226
108,33428,1,,1,Boca Raton,FL,26.348354,-80.21841
